Search terms report
"December 16, 2024 - December 22, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
cured crm,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,2,50.00%,INR,139.38,139.38,Search,0.00%,0.00,0.00
clinic digital marketing,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hms consultants i healthcare marketing strategy i marketing consulting firm,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
viral marketing in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital india marketing,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
top influencer marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor digital marketing,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals,Exact match,Added,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,1,3,33.33%,INR,5.30,5.30,Search,0.00%,0.00,0.00
digital marketing company in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,47.89,47.89,Search,0.00%,0.00,0.00
dental clinic promotional video,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,1,1,100.00%,INR,2.11,2.11,Search,0.00%,0.00,0.00
digital marketing agency for healthcare,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
adfire,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
arogya marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,11,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing for dental clinic,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor of seo,Exact match (close variant),None,Doctor SEO Campaign Mumbai,SEO for Doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
instagram marketing india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
seo for health care,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing agencies for doctors,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Exact match,Added,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,11,235,4.68%,INR,15.70,172.69,Search,0.00%,0.00,0.00
digital marketing for pharmaceutical companies,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors in hyderabad,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,1,100.00%,INR,156.29,156.29,Search,0.00%,0.00,0.00
best performance marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing for doctors,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor email marketing,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital marketing,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,18.68,18.68,Search,0.00%,0.00,0.00
medtech startups india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing companies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing lifestyle india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,5,20.00%,INR,62.14,62.14,Search,0.00%,0.00,0.00
hospital franchise in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,2,2,100.00%,INR,94.69,189.38,Search,0.00%,0.00,0.00
healthcare franchise in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing company in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agencies,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,1,1,100.00%,INR,109.10,109.10,Search,0.00%,0.00,0.00
healthcare digital marketing agency india,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing industry in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,7,32,21.88%,INR,7.37,51.59,Search,0.00%,0.00,0.00
healthcare marketing companies,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,1,2,50.00%,INR,34.29,34.29,Search,0.00%,0.00,0.00
performance marketing india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare franchise in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,2,50.00%,INR,35.50,35.50,Search,0.00%,0.00,0.00
pathology marketing strategy,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing services,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,1,3,33.33%,INR,64.46,64.46,Search,0.00%,0.00,0.00
healthcare digital advertising,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing services,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors in india,Exact match,Added,Doctor SEO Campaign Mumbai,digital marketing for doctors,2,18,11.11%,INR,9.11,18.22,Search,0.00%,0.00,0.00
influencer marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,4,25.00%,INR,275.09,275.09,Search,0.00%,0.00,0.00
all marketing company in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,4,25.00%,INR,23.17,23.17,Search,0.00%,0.00,0.00
healthcare digital marketing company,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,3,27,11.11%,INR,10.56,31.68,Search,0.00%,0.00,0.00
online dental marketing,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,1,2,50.00%,INR,155.07,155.07,Search,0.00%,0.00,0.00
digital marketing agency for hospital,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma digital marketing agency,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,2,10,20.00%,INR,341.59,683.18,Search,0.00%,0.00,0.00
digital marketing healthcare agency,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing consultant india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,7,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctors digital marketing,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing cost for small business in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals,Exact match,Added,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best influencer marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors,Exact match,Added,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media and healthcare marketing,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,2,50.00%,INR,288.95,288.95,Search,0.00%,0.00,0.00
digital marketing strategy in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,1,100.00%,INR,7.94,7.94,Search,0.00%,0.00,0.00
medico marketing activities,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospital,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma sales and marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medclap,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing industry in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,17,55,30.91%,INR,9.42,160.19,Search,0.00%,0.00,0.00
healthcare it companies in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
meditwitt,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
india marketing,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing for clinics,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,1,1,100.00%,INR,338.52,338.52,Search,0.00%,0.00,0.00
digital healthcare companies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
clarity quest,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote clinic online,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pathology lab ki marketing kaise kare,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doc web india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing hospital,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to increase patients in clinic in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,2,50.00%,INR,163.98,163.98,Search,0.00%,0.00,0.00
seo for doctors,Exact match,Added,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,0,7,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
watconsult india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital digital marketing,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing strategy in pharma industry,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online marketing doctors,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,9,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doceree,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing in pharmacy,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,1,2,50.00%,INR,26.99,26.99,Search,0.00%,0.00,0.00
reachlocal india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medkeon healthcare website design & digital marketing agency delhi ncr,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,1,100.00%,INR,316.35,316.35,Search,0.00%,0.00,0.00
healthcare startups in india 2024,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental digital marketing services,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
docstokes,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,5,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctors digital marketing,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare analytics companies in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
service marketing in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals in india,Exact match,Added,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,1,1,100.00%,INR,2.97,2.97,Search,0.00%,0.00,0.00
dental digital marketing services,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental marketing expert,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare seo,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for hospitals,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors ppt,Phrase match,None,Doctor SEO Campaign - Bangalore,DM for doctors,0,5,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best pharma marketing campaigns,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
kochava digital marketing company mumbai,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
luhaif digitech best healthcare digital marketing agency,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing agency india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
facebook ads for dental clinic,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing in health care,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing companies,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing agency for doctors,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing rates in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
amura health mumbai,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental seo marketing services,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
performance marketing agency in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical digital marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,1,2,50.00%,INR,21.29,21.29,Search,0.00%,0.00,0.00
e health campaigns in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote clinic in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
buddha digital marketing india pvt ltd,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing service providers in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,2,11,18.18%,INR,8.71,17.41,Search,0.00%,0.00,0.00
digital pharma marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best healthcare startups in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental digital marketing,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,25,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctor,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical website seo,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare startups in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,13,7.69%,INR,59.91,59.91,Search,0.00%,0.00,0.00
practise buzz,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor referral marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital healthcare marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing for doctors,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
email marketing doctors,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors in hyderabad,Phrase match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing platform in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare software products in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,2,2,100.00%,INR,6.85,13.69,Search,0.00%,0.00,0.00
10 adams,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online marketing for doctors,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,239.80,239.80,Search,0.00%,0.00,0.00
social media marketing packages india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,9.39,9.39,Search,0.00%,0.00,0.00
tag digital digital marketing company in hyderabad,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing in healthcare,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing packages india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,4,25.00%,INR,70.36,70.36,Search,0.00%,0.00,0.00
hospital marketing video,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,1,1,100.00%,INR,142.78,142.78,Search,0.00%,0.00,0.00
top 10 digital marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctors marketing agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,1,3,33.33%,INR,822.32,822.32,Search,0.00%,0.00,0.00
pharma marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,1,100.00%,INR,71.21,71.21,Search,0.00%,0.00,0.00
best medical seo companies,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,1,1,100.00%,INR,232.44,232.44,Search,0.00%,0.00,0.00
dental marketing videos,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals,Exact match,Added,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,1,1,100.00%,INR,50.74,50.74,Search,0.00%,0.00,0.00
digital marketing healthcare,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare consultant in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dentist seo agency,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital health platform india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing companies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
google adwords expert in bangalore,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharmacy digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,1,1,100.00%,INR,143.35,143.35,Search,0.00%,0.00,0.00
healthcare digital marketing,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,2,9,22.22%,INR,73.34,146.68,Search,0.00%,0.00,0.00
digital marketing agency for doctors,Exact match,Added,Doctor SEO Campaign - Bangalore,DM for doctors,1,10,10.00%,INR,56.84,56.84,Search,0.00%,0.00,0.00
indian digital marketing,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
health care marketing agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,1,2,50.00%,INR,63.46,63.46,Search,0.00%,0.00,0.00
healthcare startup ideas in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
media medic,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for medical practices,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing healthcare agency,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors ppt,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
instagram marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital healthcare agency,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,29,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,38,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical digital marketing agency,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
performance marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
clinic advertisement,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote hospital in digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
